name,activity,governorate,phone,linkedin_url,website,description,size,sector,headquarters,type,founded,error
INCIDENCE TUNISIE,Fabrication d'autres articles confectionnes en textile.,Sousse,(216) - 24 897 102 / 29 240 060,https://fr.linkedin.com/company/incidence,https://www.incidence-sails.com/,"Incidence Sails, leader européen dans la fabrication de voiles, est reconnue pour son expertise et son savoir-faire unique. Depuis plus de 30 ans, nous concevons et fabriquons des voiles sur mesure pour une large gamme de bateaux : voiliers habitables de course ou de croisière, voiliers de régates et monotypie, des voiliers de course au large, yachts classiques et voiliers de tradition, superyachts, One Off et jusqu'aux cargos à voile. Nos équipes allient passion et innovation pour offrir des voiles performantes, durables et parfaitement adaptées aux besoins de nos clients. Pionniers dans le développement des membranes D4® et DFi®, nous proposons des solutions techniques à la pointe, optimisant la vitesse, la stabilité et la fiabilité en mer. Grâce à notre réseau international et à nos ateliers en France, nous accompagnons nos clients de la conception à la pose.",51-200 employés,Fabrication d’articles de sport,"Périgny, Nouvelle-Aquitaine",Société civile/Société commerciale/Autres types de sociétés,1988,
INDUSTRIELLE D'HABILLEMENT,Confection de vêtements de dessous.,Tunis,(216) - 71 288 106,https://fr.linkedin.com/company/iccf-group,https://www.icicle.fr/en/iccf-group/,"Groupe franco-chinois de mode à vocation internationale, ICCF Group réunit depuis 2021, ICICLE, marque établie de mode naturelle et durable en Chine et la maison de couture parisienne CARVEN. ICCF Group est le reflet de la coopération originale et fructueuse de deux cultures, l’Orient et l’Occident et de deux marchés : la France, capitale de la mode, de la création et des talents, et la Chine, porteuse de culture orientale, puissance industrielle et marché en plein essor. Le logo du groupe, alliant les initiales des marques et des origines, se veut le reflet de la synergie des atouts « franco-chinois », « clés » du développement des deux marques à l’international.",1 001-5 000 employés,Commerce de détail d’habillement et d’accessoires de mode,"Paris, Île-de-France",Société civile/Société commerciale/Autres types de sociétés,,
INLI,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Tunis,(216) - 71 933 233 / 50 510 301,https://fr.linkedin.com/company/insemi-technology-services-private-limited,http://www.insemitech.com,"Founded in 2013, InSemi Technology is focused on Design Services in VLSI, Product development in Embedded Systems, and a Bridge between Academia and Industry. Since 2016 our focus was on Engineering Design Services in Chip Design and Embedded domains. Our VLSI expertise is in Foundation IP -Memory Compiler/Custom, Analog, IO and Standard Cell, ASIC Domain -Design/Verification, and Technology/Infrastructure -CAD, PDK, and Techfile Development & QA. Our Embedded Systems team is focused on Complete product development know-how on IoT, PCB Schematic capture, layout design, Complete product analysis, and Embedded Software and App development. At Insemi, we maintain an environment of technical excellence and innovation supported by young management.",1 001-5 000 employés,Services et conseil en informatique,"Bengaluru, Karnataka",Société civile/Société commerciale/Autres types de sociétés,2013,
INNOV TEXTILE,Fabrication de linges domestiques divers.,Monastir,,https://fr.linkedin.com/company/innovative-textiles-ltd-,http://www.innovativetextiles.com,"Innovative Textiles Limited is a vertically integrated Textile Company present in all sectors from Fibre to Yarn , Fabric , Dyeing , Finhsing , Garmenting and E marketing of its products. It lives by strong business ethics, excellence in customer service, productive work environment and dynamic employee engagement. Participative and ethical work culture has been the foundation for the success of our organization. Our business story started in 1991 as an export indenting agent and international trader of yarns. In the year 2003 and onwards the group companies diversified into contract farming and Ginning of Seed cotton in Zimbabwe and Zambia and into manufacturing of fully refined cooking oil at Zimbabwe, Zambia and Mali. In the year 2008- 09 and onwards we ventured into manufacturing of yarns and fabrics at Sitarganj - Uttarakhand , Dyeing / Printing of yarns / fabrics at Butibori - Nagpur and manufacturing of garments at Noida. Such vertical integration and motivated team has allowed us to achieve sustainable growth. The Growth story continues as the company is all set to expand and modernize its capacity. Currently having production capacities of 43,000 Spindles, 27 Knitted machines and a dedicated Dyeing Unit of 12 Tons per day at our Nagpur plant and 11000 pieces per day garment manufacturing unit at NOIDA. Product Range: 100% cotton, 100% cotton Compact , 100% cotton / Lycra , Polyester / Cotton Blended Yarn, Modal / Cotton Blended yarns in Grey and Dyed and in all customized Blends. - Ring Spun Yarn: Ne 10/1 to Ne 32/1 - Open End Yarn: Ne 6/1 to Ne 10/1 - All Single yarn is auto coned, electronically cleared & air spliced. - All double yarn is TFO doubled. - Multi Fold Yarns like Ne 12/3, Ne 12/5, Ne 14/3 & Ne 14/5 Grey and Dyed Knitted Fabrics - Single Jersey Grey Knitted Fabrics in Polyester / Cotton & 100% Cotton with or without Lycra - Interlock Fabrics - Rib Fabrics - 2 & 3 Thread Fleece Fabrics Knitted Garments",201-500 employés,Fabrication de textiles,"Gurgaon, Haryana",Société civile/Société commerciale/Autres types de sociétés,1991,
INOPLAST LOISIR,Fabrication de linges domestiques divers.,Manouba,(216) - 71 620 440 / 36 031 100,https://fr.linkedin.com/company/phoenix-innoplast,http://www.phoenix-innoplast.com,"UN MODÈLE AU SERVICE DE L’INTELLIGENCE PLASTIQUE Notre approche globale de l'ingénierie plastique nous permet de vous offrir toute l'expertise requise pour répondre aux objectifs de votre projet. Notre panel d’interventions porte autant sur les missions de type Conception, Recherche & Développement, que l’optimisation de la Production. Nous tenons à ce principe d’Intelligence Plastique qui intègre une dynamique de projet impulsée par le donneur d'ordre et qu'il convient de transmettre à toute la chaîne des intervenants. C'est notre approche responsable, concertée et éthique des métiers de et notre passion que nous mettons à votre service pour vous permettre le succès. UN BUREAU D’ÉTUDES UNIQUE ET INNOVANT CONSACRÉ À VOTRE PROJET Basé sur une longue expérience, notre bureau d'étude développe une culture de travail résolument collaborative avec les services de nos clients concernés. Cette forte implication de nos partenaires dans le processus de développement crée une chaîne de conception proactive, rapide et très fiable afin d'obtenir en peu de temps le meilleur résultat pour notre client. Aujourd'hui notre expérience et cette méthode de travail garantissent : • une gestion du projet de A à Z, de la conception à la production en série • un grande compétence dans le choix de la matière • une adaptation parfaite au besoin réel du client • une pertinence dans les solutions trouvées • enfin un résultat à 100% satisfaisant pour notre client",2-10 employés,Fabrication de produits en caoutchouc et en plastique,,Société indépendante,2005,
INP INDUSTRY,Confection de vêtements de travail.,Kairouan,(216) - 97 858 347 / 77 227 635,https://fr.linkedin.com/company/inp-computer-technologies-pvt-ltd,http://www.inp.co.in,"INP Computer Technology Private Limited- the Company is young, founded in the year of 2011 and actively engaged in the manufacturing of wide range of Thin Clients and cloud based computing technology to enhance the virtualization environment. Thin Clients manufacturing and device management is our core strength. It is head-quartered in Mumbai. INP is seen as a world class manufacturer in Thin Client and related Server Based Computing technology. Needles to say, we have enough products, services, devices, expertise and knowledge to cater the customer needs. Today, we achieved the big share in thin client markets by taking it at new heights. INP has delivered number of Thin Clients to over a thousand of users in the enterprises markets. Multiple corporates from various industries like Public Sector departments, banking, healthcare and education providers across many countries are our prominent clients, offering all sizes thin clients at quality standards to them. In just three years we have captured a lot of thin clients customers including leading national and multinational companies and their systems are now advanced up to present competition.These devices enable administrators to manage devices remotely across a network effectively. The company’s aim is to deliver innovative solutions with the help of largest systems integrators tie-ups and partnerships with leading companies like Microsoft, VMware and Citrix. Our products include huge range of hardware devices with multiple operating systems. Right from the desktops from the entry level to high-performance models, we assist you. With a sound understanding of clients’ business via strategic alliances we could deliver comprehensive range of products that create dynamic and flexible IT environment with thin clients that enable all emerging companies all around the world to create efficient IT infrastructures which is not only secure and flexible but also affordable.",11-50 employés,Services et conseil en informatique,,Société civile/Société commerciale/Autres types de sociétés,2011,
INTER BEACH WEAR,Fabrication de pull-overs et articles similaires en mailles.,Ben Arous,(216) - 71 482 654,https://fr.linkedin.com/company/baltiaan,https://www.baltiaan.com,"Baltiaan is a European-rooted house of brands building trusted category leaders across international markets. We develop and scale brands with a focus on quality, pricing, positioning, and long-term value creation. Our ambition is to create enduring market leaders in every category we enter through strong brand building, disciplined execution, and global ambition.",11-50 employés,"Technologie, information et Internet","Tallinn, Harju maakond",Société civile/Société commerciale/Autres types de sociétés,2017,
INTER CONFECTION (BIZERTE),Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus - Confection de vêtements de dessous.,Bizerte,(216) - 70 634 061,https://fr.linkedin.com/company/ad-plast-tn,http://www.adplast.fr/,AD PLAST est filiale à 100 % d’un groupe industriel Français spécialisé dans la transformation des films plastiques. LES METIERS D’AD PLAST La transformation des feuilles plastiques par soudure Haute Fréquence et soudure Thermique. La Maroquinerie simili cuir et la Couture technique. Le site de fabrication d’AD PLAST se trouve à 80 Kms au Nord de TUNIS dans la ville de BIZERTE.,51-200 employés,Fabrication de produits en plastique,"Zarzouna 7021 Bizerte, Tunisie",Société indépendante,,
INTER TEX PLUS,Confection de vêtements de dessous.,Beja,(216) - 94 143 642 / 78 564 615,https://fr.linkedin.com/company/intertex-connect,https://www.intertex.in,"InterTeX Connect LLP – Inspiring Tomorrow’s Connections. InterTeX Connect LLP is a forward-thinking trading enterprise dedicated to revolutionizing the textile industry. We specialize in sourcing, supplying, and distributing textile raw materials, intermediate products, and finished goods, ensuring seamless market access for businesses worldwide. Our expertise lies in bridging supply chain gaps, fostering strategic collaborations, and driving efficiency through innovative and sustainable trade solutions. At InterTeX Connect, we believe in the power of connections. Our mission is to create an ecosystem where businesses thrive through reliable partnerships, transparent dealings, and value-driven trade practices. We operate with a global perspective, leveraging market insights, technological advancements, and an extensive network to meet the evolving needs of the textile sector. Whether it’s providing high-quality raw materials, optimizing procurement processes, or ensuring timely deliveries, we are committed to excellence in every transaction. Our Vision: To be a catalyst for global trade by inspiring tomorrow’s connections—delivering innovative, reliable, and sustainable solutions that empower businesses, build trust, and create lasting value in a dynamic marketplace. What Sets Us Apart? ✅ Comprehensive Trade Solutions: End-to-end sourcing and supply chain management. ✅ Innovation-Driven Approach: Utilizing advanced trade strategies and market intelligence. ✅ Sustainability Commitment: Prioritizing responsible and eco-conscious sourcing. ✅ Global Network: Connecting markets and businesses across borders. ✅ Trust & Transparency: Building long-term, ethical partnerships. As we continue to expand our reach, we invite businesses to collaborate with us and be part of a trading network that values quality, integrity, and long-term success.",2-10 employés,Fabrication de textiles,"Shirpur, Maharashtra",Partenariat,2025,
INTERNATIONAL COMPANY OUTWEAR,Confection de vêtements de dessus - Confection de vêtements de dessous.,Manouba,(216) - 22 009 390 / 71 546 065,https://fr.linkedin.com/company/26international,www.26international.com,"Located in the epicenter of the fashion industry in downtown Los Angeles as well as New York City, 26 International has grown to become one of the leading Women's Jackets, Blazers, Coats, Sweater manufacturer over the last 20 years. 26 brings the best styles and trends inspired by all over the world and has a great reputation of quality, price fairness, and integrity among our customers and competitors. We also offer private label services. We have been very successful in providing private label manufacturing for many of the major brand names in the market.",11-50 employés,Commerce de gros import-export,"Los Angeles, CA",Société indépendante,1997,
INTERTEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 559 649,https://fr.linkedin.com/company/intertexng,,•Africa’s #1 Manufacturers for Clothing Brands. • Instilling Confidence with Shirts • Multiple Brand's and Multiple Fits • The Perfect Shirt House,201-500 employés,Fabrication de vêtements,"Lagos, Lagos",Partenariat,,
INTERWASHING TUNISIA,Industries textiles n.c.a.,Nabeul,(216) - 72 390 885,https://fr.linkedin.com/company/3s-tn,https://www.3s.com.tn,"Navire amiral d’un groupe technologique, 3S , l’entreprise Agile, est parvenu, au fil de ses 32 ans d’existence, à se positionner en tant que leader sur le marché de l’intégration et des services à valeur technologique en Tunisie et en Afrique du Nord. Cœur du pôle IT du groupe, 3S a su jouer le rôle de précurseur dans un marché en mutation fulgurante. Avec 370 compétences, hautement qualifiées et aguerries, dont près des deux tiers sont ingénieurs ou techniciens dotés de plus de 300 certifications, nous sommes à l’avant-garde des technologies de demain. Cinq principaux atouts font notre force > La maîtrise des technologies émergentes > L’expertise technologique labellisée selon les standards internationaux > La couverture technologique étendue permettant d’offrir des solutions de bout en bout > Le support technique basé sur un processus efficace de résolution des incidents. > L’assise financière solide Notre parcours a été jalonné par une série de certifications prestigieuses (Cisco, Vmware, Microsoft, EMC, IBM, Fortinet). Des distinctions assorties d’un processus rigoureux de formation et d’examens. Toujours à l’avant-garde des technologies émergentes, 3S a réussi à étendre son spectre technologique et à anticiper les besoins de ses clients. Notre conviction est qu’il y a autant de solutions, que d’entreprises. D’où notre souci d’offrir à nos clients des solutions sur mesure performantes et sécurisées dans les secteurs qui forment le cœur de cible de nos activités : intégration systèmes, Datacenter, Cloud Computing, intégration réseaux et infrastructure , communication unifiées et collaboration, et vidéosurveillance.",201-500 employés,Technologies et services de l’information,"Tunis, Tunisie",Société civile/Société commerciale/Autres types de sociétés,1988,
INTEX TUNISIE,Finissage textile.,Nabeul,(216) - 21 002 998,https://fr.linkedin.com/company/centre-international-des-technologies-de-l-environnement-de-tunis,http://www.citet.nat.tn/,"Le Centre International des Technologies de l'Environnement de Tunis (CITET) est une Entreprise Publique à caractère Non Administratif (EPNA), placé sous la tutelle du Ministère des Affaires locales et de l’Environnement. Créé en 1996, en réponse aux recommandations internationales issues du sommet de RIO (1992) pour le renforcement des capacités des pays en développement et l’appui au transfert des technologies écologiquement rationnelles, le CITET s’est ainsi engagé à développer les compétences tunisiennes pour assurer un transfert de technologies écologiquement rationnel et bien adapté au contexte local, national et international.(Loi n°96-25 du 25/03/1996).",51-200 employés,Environnement et énergies renouvelables,Tunis,Administration publique,1996,
IPS,Industries textiles n.c.a.,Nabeul,(216) - 27 326 258 / 29 985 189,https://fr.linkedin.com/company/ips-cyber-intelligence,http://www.ips-intelligence.com,"IPS is a global provider of Cyber Intelligence solutions with more than 30 years of experience in the high-tech market. Many Homeland Security Departments, Intelligence Authorities and Law Enforcement Agencies over 4 different continents and more than 30 countries today rely on IPS as a long term trusted partner. IPS Cyber Intelligence solutions help to fight illegal activities, thanks to the possibility to collect, monitor and analyze with AI algorithms a wide range of data Communication from every kind of information, source and networks.",51-200 employés,Développement de logiciels,Rome,Société civile/Société commerciale/Autres types de sociétés,,
IRIS,Confection de vêtements de dessous.,Kairouan,(216) - 98 239 603,https://fr.linkedin.com/company/iris-software-inc.,https://www.irissoftware.com,"Iris Software has been a trusted software engineering partner to several Fortune 500 companies for over three decades. We help clients realize the full potential of technology-enabled transformation by bringing together a unique blend of domain knowledge, best-of-breed technologies, and experience executing essential and critical application development engagements. Our highly-experienced talent and rightsized teams help develop core, complex, and mission-critical applications and solutions for leading enterprises across Capital Markets/Front office operations, Banking, Investment Management, Brokerage, Risk and Compliance, Insurance, Healthcare/Life Sciences, and Supply Chains/Logistics. Disclaimer: It has come to our attention that unauthorized individuals or entities are misleading the public by using our company's name, logo, and other identifying information for fraudulent purposes through www.irissoftware.org and www.irissoftware.info. Through the said websites the entity is engaging in deceptive practices, such as making false promises, and conducting unauthorized transactions in our name. The general public is hereby informed alerted about this deceptive entity to prevent any potential harm or misinformation, and are advised to not engage in any communication / transaction with the said entity, in the event that you are contacted by the said websites, you are advised to report here: https://www.irissoftware.com/careers#disclaimer",1 001-5 000 employés,Services et conseil en informatique,"Edison, NJ",Société civile/Société commerciale/Autres types de sociétés,1991,
ISAMOD,Confection de vêtements de dessous.,Sfax,(216) - 74 688 582,https://fr.linkedin.com/company/siamod-brand,http://siamod.com/,"Inspired by the ever-so-demanding needs of the business world, and wanting to provide traveling professionals with the best in functionality, innovation, quality and mobile support, we responded with McKleinUSA. McKleinUSA is the mid-tier brand of McKlein Company, LLC, featuring a collection of fabric and leather business cases, and leisure bags. From its humble inception, McKleinUSA has grown to become known as a pioneer of innovation with mobile computer cases, and travel bags around the world. Today, the brand continues to be innovative, with new technology: Patented 2-in-1 Removable Wheel & Handle System, Patent Pending Fly-Through Checkpoint Friendly Design, Smart Strap Attachment, Smart Zipper, and State-of-the-Art Laptop Protection.",2-10 employés,Commerce de détail,"Broadview, Illinois",Société civile/Société commerciale/Autres types de sociétés,1998,
ISHAK TEXTILE,Confection de vêtements de dessus.,Kasserine,(216) - 26 012 350,https://fr.linkedin.com/company/saleh-ishaq-trading-co-llc,http://sitcouae.co,"Saleh Ishaq Trading Co LLC is a trusted Importer, Exporter, and Supplier, having its operations all over the United Arab Emirates and overseas. We present ourselves with over 24 years of experience in engineering and precision tools such as Marine engineering tools, Fabrication tools, CNC Machine Parts, Measuring Instruments, Abrasive systems, HSS and Carbide tools and other hand tools.We provide only the best quality products.",2-10 employés,Fabrication de machines,"Dubai, Dubai",Travailleur indépendant,1995,
ISSATEX INTERNATIONAL,Fabrication de linges domestiques divers.,Monastir,(216) - 73 525 981,https://fr.linkedin.com/company/issatex-international,http://www.issatex.com,"ISSATEX INTERNATIONAL (située à Tunisie) fort de son expérience de 19 ans, proposent ses services de sous-traitant en confection des linges de maison, d’hôtellerie , ainsi que la confection des linges de bain et hospitalier . Tous nos savoir-faire sont accentués dans les domaines de la productivité, la réactivité et la qualité, conforme aux cahiers des charges et besoins de nos clients. Pour satisfaire nos clients .",201-500 employés,Fabrication de textiles,"rub ibn khaldoun sidi ameur, monastir",Société civile/Société commerciale/Autres types de sociétés,1998,
ITAL-STIR,Confection de vêtements de dessus.,Monastir,(216) - 73 530 524,https://fr.linkedin.com/company/stir-compounds-s-r-l-,http://www.stircompounds.it/,"Stir Compounds è un marchio storico nel mercato italiano dei pvc compounds in quanto, intuendo il futuro sviluppo delle materie plastiche, il fondatore Michele Damato ha inaugurato lo stabilimento di Barletta (BA) già nel 1973. La qualità del prodotti, il rispetto delle esigenze e delle richieste dei clienti e l' attenzione all’ambiente, rappresentano gli obbiettivi principali che hanno consentito all’azienda di posizionarsi ai vertici del mercato da più di 30 anni. Infatti, grazie a una struttura estremamente flessibile, Stir Compounds è in grado di produrre una vasta gamma di compounds rigidi e plastificati per rispondere alle necessità di tutti i settori di applicazione delle materie plastiche ed è inserita in mercati tra loro diversissimi: da quello delle calzature a quello dei cavi, dall’agricoltura alle aziende medicali e farmaceutiche.",11-50 employés,Fabrication de produits chimiques,"Barletta, Barletta-Andria-Trani",Société cotée en bourse,1973,
ITC ( BENI KHALLED),Confection de vêtements de travail.,Nabeul,(216) - 58 383 885 / 58 352 287,https://fr.linkedin.com/company/internationaltradingcirclellc,http://www.itc.ae,"ITC is a U.A.E. Company based in Abu Dhabi and established in 1979 by the owners Sheikh Shaya Bin Ahmed Al Hamed – Chairman and Sheikh Khalid Bin Ahmed Al Hamed – President & CEO. ITC is a forward thinking company that has been successfully guiding international companies since 1979 which seek to create and sustain a strong presence in Abu Dhabi by offering value creation and competitive advantage through its wide spectrum of services and its existing client database. Led by the phenomenal growth of the Emirate of Abu Dhabi, ITC has successfully attracted worldwide companies interested in participating in the boom industries of Oil, Gas, Power, Water, Telecommunications, Construction, Defense and Aviation. Whilst ITC has sponsored many international companies, we have also enabled a good number of those companies to legally become part of Abu Dhabi through the establishment of “Abu Dhabi Branch Offices” and other forms of “Joint Venture Companies”. Subsequent to the legal establishment and introduction of those international companies into the local market, ITC then offers assistance with invaluable local and GCC knowledge, as well as a business intelligence service which is second to none throughout the Emirate of Abu Dhabi. Our mission is to make through lasting relationships, international companies feel and act as local companies with the full legitimate rights that the Abu Dhabi laws permit. Since 1979 ITC landed as a Corner Stone in Abu Dhabi and strong refuge to international companies seeking establishment of business in Abu Dhabi to serve the oil and gas sector. Over the years it proved that our vision was farsighted because we built a block of good companies and each one of them has been a successful participant in Abu Dhabi oil and gas development and progress. Our principals have become like national companies, as all of them have been here for long enough and enjoyed success which is only attributed to local companies. SERVICES Representation / Sponsorship of international companies and Consultancy • All OIL & GAS related activities from Pre-feasibility Study till EPC • SUPPLY and INSTALLATION of all parts and systems for Oil and Gas projects inclusive of Boilers, Heat Exchangers, Pressure Vessels, Valves, Pipes and Tubes and fittings, Tanks, flow control instruments & level gauges, process control automation, systems management, petrochemicals, chemicals, laboratory equipment supplies.",2-10 employés,Industrie pétrolière et gazière,"Abu Dhabi, Abu Dhabi",Partenariat,1979,
ITS,Confection de vêtements de travail - Confection de vêtements de dessus.,Nabeul,(216) - 24 719 355,https://fr.linkedin.com/company/its-aero,http://www.its.aero,"With a range of custom solutions for aging fleets, ITS serves airlines, leasing companies, MROs, OEMs and resellers worldwide by continually aligning their assets with the needs of their customers and vendors. HISTORY ITS (Infinity Trading & Solutions) was founded in May 2002 by two entrepreneurs, Scott Tinker and Ryan Kohnke. For the first five years, they focused their energy on a strategy of purchasing surplus and obsolete parts from several sources, reselling them to various and diverse customers in the Aerospace Aftermarket industry. The partners then made a momentous decision that would change the future of the company and set it on a new strategic course: they purchased a complete airplane, an MD-83. The new strategy transformed the company from a parts wholesaler to a provider of more complex airframe components and systems, developing in-house technical expertise on the entire airframe. Throughout the years, ITS has expanded the number of aircraft types they serve as well as their offerings to include engines and APUs, following a strategic plan driven by current and forecasted market demand. ITS is headquartered in a state-of-the-art facility in Chandler, AZ and it is an ISO9001:2015 and AS9120B:2016 organization ensuring the quality level expected by our customers. Today ITS has grown from its humble origins into an industry-recognized true supply chain partner to many customers in the Air Transport Aftermarket industry, providing them with the technical expertise and the right assets from our multiple facilities worldwide.",51-200 employés,Transport aérien,"Chandler, Arizona",Société civile/Société commerciale/Autres types de sociétés,2002,
ITS GAALICHE,Finissage textile.,Monastir,(216) - 70 240 800 / 73 434 609,https://fr.linkedin.com/company/rspl-group,https://www.rsplgroup.com/,"Welcome to RSPL Group, a dynamic FMCG conglomerate dedicated to delivering unparalleled value and innovation for over the past three decades. Founded in 1988 by Shri Murlidhar Gyanchandani and Shri Bimal Kumar Gyanchandani in Kanpur, our journey began with a vision to redefine the consumer experience, starting with Ghadi Detergent. Ghadi detergent stands tall as a household favourite brand, epitomizing our commitment to excellence in fabric care. With a robust portfolio spanning across Soaps & Detergent, Hygiene care, Dairy & allied products, Real estate, Footwear, Lifestyle & Fashion, Beauty & wellness, Agri-business, Soda ash and Renewable energy, RSPL Group is synonymous with quality and innovation. With a steadfast focus on both the Indian market and international expansion in Bangladesh, Nepal, Ethiopia, and Dubai, RSPL is a global force driving change. Our commitment to sustainability is evident through our extensive renewable energy initiatives, powering India's future. Today, with 35+ manufacturing plants (including 5 wind mills) and a workforce of over 20,000, RSPL stands as a beacon of economic growth, environmental stewardship, sustainability and social responsibility. Our CSR initiatives, spearheaded by trusts like RSPL Welfare Foundation and Laxmi Devi Dayal Das Charitable Trust, underscore our commitment to giving back to society. At the heart of our success lies our strong belief in our core values i.e. Consumer Centricity, Continuous Improvement, Integrity and Thorough Planning and Execution and coupled with a profound understanding of consumer needs, coupled with efficient capital structure, cutting-edge technology, and a robust distribution network. This synergy has propelled RSPL to new heights and has moved us closure to our mission of being a part of consumer’s daily life by giving them best value for money through well researched and ever evolving excellent products. RSPL Group is an Equal Employment Opportunity Employer.",+ de 10 000 employés,Industrie manufacturière,,Société cotée en bourse,1998,
ITT,Confection de vêtements de travail.,Monastir,(216) - 29 540 510,https://fr.linkedin.com/company/itt,http://www.itt.com,"ITT Inc. (NYSE: ITT) is a diversified global leading manufacturer of highly engineered critical components and customized technology solutions serving the flow, aerospace and defense, transportation, industrial, and energy markets. Through operational execution, innovation, and disciplined capital deployment, including strategic acquisitions such as SPX FLOW, ITT partners with its customers to deliver enduring solutions to the key industries that underpin our modern way of life. Headquartered in Stamford, Connecticut, ITT has a market cap of roughly $20 billion and employs more than 15,000 people across 40 countries and serves customers in approximately 125 countries. Following the acquisition of SPX FLOW, the company is expected to generate $5.4 billion in annual revenue.",+ de 10 000 employés,Fabrication de machines industrielles,"Stamford, Connecticut",Société cotée en bourse,,
J L LINGERIE,Confection de vêtements de dessous.,Monastir,(216) - 73 531 301 / 73 456 124,https://fr.linkedin.com/company/jescrilingerie,http://jescri.com.br,"Somos a Jescri, uma empresa pioneira fundada em 1997 em Nova Friburgo - RJ, dedicada à produção de moda íntima feminina de excelência. Estamos orgulhosamente posicionados como uma das principais fabricantes de lingerie no estado do Rio de Janeiro. Em meio a um cenário econômico desafiador, nossa trajetória de crescimento é impulsionada pela inovação e pela qualidade excepcional de nossos produtos. Nosso compromisso com a excelência vai além do negócio: nós agimos com integridade, ética e dedicação, promovendo uma cultura de melhoria contínua e excelência em todas as nossas operações. Nós somos apaixonados pela moda e por desafios.",51-200 employés,Fabrication de vêtements,"Nova Friburgo, Rio De Janeiro",Société civile/Société commerciale/Autres types de sociétés,1997,
J.M.I,Confection de vêtements de dessus.,Ariana,(216) - 28 728 068 / 70 664 402,https://fr.linkedin.com/company/j-m-industries,,JM Industries offers one of the largest and most diversified inventories of Refurbished Semiconductor Manufacturing Equipment in the world. Our Refurbished equipment is serviced by experienced technicians. JMI has also established itself as a dependable vacuum pump rebuilding service (including many dry pumps) JMI has a wide selection of dual stage direct drive pumps with over 300 in stock.,51-200 employés,Fabrication de semi-conducteurs,"Kanpur, Uttar Pradesh",,,
JAAM-TEX,Confection de vêtements et accessoires.,Monastir,(216) - 73 530 450,https://fr.linkedin.com/company/ktex2003,https://thektex.wordpress.com/,"We are a leading manufacturer and wholesaler of Indian Polyester * Cotton & Pure Cotton fabrics based in Surat, Gujarat, India. Constantly improving our performance since 2003, we have 17 years of expertise in manufacturing cotton based fabrics. We bring to you finest collection of Dyed fabrics. Our collection includes vast colours of Tip Top Cotton & Zee Cotton. We manufacture these products for daily use. The exclusive assortment of fabrics offered by us includes, Polyester * Cotton , Glace Cotton & Jaam Satin.",2-10 employés,Fabrication de textiles,"SURAT, GUJARAT",Société indépendante,2003,
JALNA CONFECTION,Fabrication de pull-overs et articles similaires en mailles.,Sousse,(216) - 73 298 298,https://fr.linkedin.com/company/confection,,"About Confection. We believe we are a part of a movement that moves away from the usual cold style of business and professional photography. Every person is different, every client is different. It is they that create the look in all of our photos. Unlike most photographs out there, your photos from us will never look like any others, nor will they ever be replicated. We contiune to learn as artists. Part of our package is complete personal attention to you. Contact us if you need photographs that are yours only.",2-10 employés,Photographie,,Travailleur indépendant,2011,
JAMTEX INTERNATIONAL,Confection de vêtements de travail.,Sousse,(216) - 73 286 593,https://fr.linkedin.com/company/casa-jamtex,https://casajamtex.com/,"CASA JAMTEX creates beautiful & original designs inspired by everyday life; travel, connection between people and past experiences. Our designs combine classic elements with a new fresh hand-feel look bringing you esthetically pleasing, unique and playful Textiles, Wallpaper and Home Decor for your Space.",2-10 employés,Design d’intérieur,"New York, New York",Société indépendante,2024,
JBT,Industries textiles n.c.a.,Nabeul,(216) - 72 333 184 / 72 333 167,https://fr.linkedin.com/company/jbt-corporation,http://jbtmarel.com/,"John Bean Technologies Corporation (JBT) is a leading global technology solutions provider to high-value segments of the food and beverage industry with a focus on proteins, liquid foods, and automated guided vehicles (AGVs). Food and Beverage Solutions – Our equipment offerings include primary, secondary and further value-added processing, including chilling, mixing/grinding, injecting, blending, marinating, tumbling, flattening, forming, portioning, coating, cooking, frying, freezing, extracting, pasteurizing, sterilizing, concentrating, high pressure processing, weighing, inspecting, filling, closing, sealing, and packaging, which support a large and growing portfolio of food, beverage, and health end markets. Automated Guided Vehicle Systems – Our Automated Guided Vehicle Systems offerings include stand-alone, fully integrated, and dual-mode robotic systems for material movement requirements with a wide variety of applications including automotive manufacturing, warehousing, and medical facilities.",5 001-10 000 employés,Fabrication de machines,"Chicago, IL",Société cotée en bourse,1884,
